grade,grade_name,support,precision,recall,f1
0,Normal,2009,0.9259039715471251,0.7775012444001991,0.8452380952380952
1,Mild,507,0.36753246753246754,0.5581854043392505,0.44322631166797183
2,Moderate,254,0.3961038961038961,0.48031496062992124,0.43416370106761565
3,Severe,208,0.7136150234741784,0.7307692307692307,0.7220902612826602
