comparison,candidate,reference,native_roi_count_difference,native_patient_count_difference,native_accuracy_difference,native_balanced_accuracy_difference,native_macro_precision_difference,native_macro_recall_difference,native_macro_f1_difference,native_weighted_f1_difference,native_qwk_difference,native_mae_difference,native_within_one_grade_accuracy_difference,native_undergrade_by_2plus_rate_difference,native_overgrade_by_2plus_rate_difference,native_high_risk_recall_argmax_difference,native_false_clear_rate_argmax_difference,native_moderate_false_clear_rate_difference,native_severe_false_clear_rate_difference,native_normal_recall_difference,native_mild_recall_difference,native_moderate_recall_difference,native_severe_recall_difference,native_risk_auroc_difference,native_risk_auprc_difference,native_risk_brier_difference,native_risk_ece_difference,native_crossfit_roi_recall_at_target_difference,native_crossfit_roi_specificity_at_target_difference,native_crossfit_roi_flag_rate_at_target_difference,native_crossfit_patient_recall_at_target_difference,native_crossfit_patient_specificity_at_target_difference,native_crossfit_patient_flag_rate_at_target_difference,matched_roi_count_difference,matched_patient_count_difference,matched_accuracy_difference,matched_balanced_accuracy_difference,matched_macro_precision_difference,matched_macro_recall_difference,matched_macro_f1_difference,matched_weighted_f1_difference,matched_qwk_difference,matched_mae_difference,matched_within_one_grade_accuracy_difference,matched_undergrade_by_2plus_rate_difference,matched_overgrade_by_2plus_rate_difference,matched_high_risk_recall_argmax_difference,matched_false_clear_rate_argmax_difference,matched_moderate_false_clear_rate_difference,matched_severe_false_clear_rate_difference,matched_normal_recall_difference,matched_mild_recall_difference,matched_moderate_recall_difference,matched_severe_recall_difference,matched_risk_auroc_difference,matched_risk_auprc_difference,matched_risk_brier_difference,matched_risk_ece_difference,matched_crossfit_roi_recall_at_target_difference,matched_crossfit_roi_specificity_at_target_difference,matched_crossfit_roi_flag_rate_at_target_difference,matched_crossfit_patient_recall_at_target_difference,matched_crossfit_patient_specificity_at_target_difference,matched_crossfit_patient_flag_rate_at_target_difference
ordinal_increment,Original_CORAL_60_40,Original_60_40,0.0,0.0,0.022834116856951026,-0.007379441123402719,-0.0025073473402550395,-0.007379441123402719,0.0004026214662868899,0.01253460554897845,0.013613673486350564,-0.021490933512424426,-0.00167897918065818,0.0013431833445265275,0.0003357958361316325,0.0021645021645021467,-0.0021645021645021745,-0.003937007874015741,0.0,0.05574912891986061,-0.08481262327416172,-0.019685039370078705,0.019230769230769273,0.001974376974376857,0.003823059445850596,-0.002670901322268708,-0.020682306592509858,0.0043290043290044045,0.006359300476947549,-0.004701141705842848,-0.008032128514056214,-0.0091324200913242,0.0,0.0,0.0,0.022834116856951026,-0.007379441123402719,-0.0025073473402550395,-0.007379441123402719,0.0004026214662868899,0.01253460554897845,0.013613673486350564,-0.021490933512424426,-0.00167897918065818,0.0013431833445265275,0.0003357958361316325,0.0021645021645021467,-0.0021645021645021745,-0.003937007874015741,0.0,0.05574912891986061,-0.08481262327416172,-0.019685039370078705,0.019230769230769273,0.001974376974376857,0.003823059445850596,-0.002670901322268708,-0.020682306592509858,0.0043290043290044045,0.006359300476947549,-0.004701141705842848,-0.008032128514056214,-0.0091324200913242,0.0
risk_auxiliary_increment,Original_CORAL_RISK_G_60_40,Original_CORAL_60_40,0.0,0.0,0.010073875083948969,-0.0002564972536844845,0.0026190347288962412,-0.0002564972536844845,0.0022384267510555667,0.004859140898557657,0.00546007137382154,-0.009738079247817333,0.000335795836131636,0.0006715916722632642,-0.0010073875083948976,0.00649350649350644,-0.006493506493506496,-0.011811023622047279,0.0,0.022896963663514236,-0.03747534516765283,0.003937007874015741,0.009615384615384581,-0.003929397311750127,-0.007497317290124816,-0.002005240379787436,-0.028068700351991126,-0.0043290043290044045,-0.019872813990461036,0.01611820013431836,-0.004016064257028162,0.0182648401826484,-0.010683760683760757,0.0,0.0,0.010073875083948969,-0.0002564972536844845,0.0026190347288962412,-0.0002564972536844845,0.0022384267510555667,0.004859140898557657,0.00546007137382154,-0.009738079247817333,0.000335795836131636,0.0006715916722632642,-0.0010073875083948976,0.00649350649350644,-0.006493506493506496,-0.011811023622047279,0.0,0.022896963663514236,-0.03747534516765283,0.003937007874015741,0.009615384615384581,-7.570595805883595e-05,0.0001981273822085905,-0.0003393663550866899,-0.0005191837407637484,0.0021645021645021467,0.004372019077901412,-0.0033579583613163044,-0.004016064257028162,0.022831050228310557,-0.012820512820512886
total_proposed_vs_original,Original_CORAL_RISK_G_60_40,Original_60_40,0.0,0.0,0.032907991940899994,-0.007635938377087204,0.00011168738864120176,-0.007635938377087204,0.0026410482173424565,0.017393746447536107,0.019073744860172104,-0.03122901276024176,-0.001343183344526544,0.0020147750167897917,-0.000671591672263265,0.008658008658008587,-0.00865800865800867,-0.01574803149606302,0.0,0.07864609258337485,-0.12228796844181455,-0.015748031496062964,0.028846153846153855,-0.00195502033737327,-0.00367425784427422,-0.004676141702056144,-0.048751006944500984,0.0,-0.013513513513513487,0.011417058428475513,-0.012048192771084376,0.0091324200913242,-0.010683760683760757,0.0,0.0,0.032907991940899994,-0.007635938377087204,0.00011168738864120176,-0.007635938377087204,0.0026410482173424565,0.017393746447536107,0.019073744860172104,-0.03122901276024176,-0.001343183344526544,0.0020147750167897917,-0.000671591672263265,0.008658008658008587,-0.00865800865800867,-0.01574803149606302,0.0,0.07864609258337485,-0.12228796844181455,-0.015748031496062964,0.028846153846153855,0.001898671016318021,0.004021186828059187,-0.003010267677355398,-0.021201490333273607,0.006493506493506551,0.010731319554848961,-0.008059100067159153,-0.012048192771084376,0.013698630136986356,-0.012820512820512886
branch_risk_auxiliary_increment,CORAL_RISK_G,CORAL,0.0,0.0,-0.001343183344526544,-0.01301498260236189,-0.023879506680751228,-0.01301498260236189,-0.029086689125778276,-0.01842812657589188,-0.010003494869397889,0.011081262592343877,-0.008394895903290789,0.004365345869711216,0.004029550033579583,0.05627705627705626,-0.05627705627705626,-0.07480314960629919,-0.033653846153846145,0.023892483822797406,-0.12228796844181461,0.007874015748031482,0.038461538461538436,0.000584570437511589,0.004299233038668526,-0.0024202724126210842,-0.019048262423311535,0.0,-0.00556438791732905,0.004701141705842848,0.004016064257028051,0.0182648401826484,-0.0064102564102564985,0.0,0.0,-0.001343183344526544,-0.01301498260236189,-0.023879506680751228,-0.01301498260236189,-0.029086689125778276,-0.01842812657589188,-0.010003494869397889,0.011081262592343877,-0.008394895903290789,0.004365345869711216,0.004029550033579583,0.05627705627705626,-0.05627705627705626,-0.07480314960629919,-0.033653846153846145,0.023892483822797406,-0.12228796844181461,0.007874015748031482,0.038461538461538436,0.0006052175169822815,0.005620102815032779,-0.0015769305003085002,-0.003585590696198109,-0.0021645021645021467,-0.0051669316375199115,0.004029550033579576,0.004016064257028051,0.0365296803652968,-0.014957264957265015
safety_checkpoint_vs_grade_checkpoint,CORAL_RISK_S,CORAL_RISK_G,0.0,0.0,-0.01645399597044994,0.025858785650358262,-0.04156859305242,0.025858785650358262,-0.0024959955935037748,0.0021516132217711537,0.001805721267343241,0.020819341840161154,-0.004365345869711268,-0.011081262592343856,0.015446608462055072,0.0800865800865801,-0.0800865800865801,-0.12598425196850394,-0.024038461538461543,-0.04927824788451973,0.05917159763313609,0.011811023622047279,0.08173076923076927,-0.0023675317792964945,-0.00523568257596696,0.008060179720310867,0.04215594405874396,-0.0043290043290042934,0.001987281399046026,-0.002350570852921452,0.0,-0.013698630136986245,0.0064102564102564985,0.0,0.0,-0.01645399597044994,0.025858785650358262,-0.04156859305242,0.025858785650358262,-0.0024959955935037748,0.0021516132217711537,0.001805721267343241,0.020819341840161154,-0.004365345869711268,-0.011081262592343856,0.015446608462055072,0.0800865800865801,-0.0800865800865801,-0.12598425196850394,-0.024038461538461543,-0.04927824788451973,0.05917159763313609,0.011811023622047279,0.08173076923076927,-0.0019236195706786585,-0.005882873394226551,0.010677615785668226,0.04972205850228523,-0.0043290043290042934,-0.0031796502384737746,0.0020147750167897605,0.0,-0.022831050228310446,0.010683760683760646
