grade,grade_name,support,precision,recall,f1
0,Normal,2009,0.9063345966432051,0.8332503733200597,0.8682572614107883
1,Mild,507,0.39408866995073893,0.47337278106508873,0.4301075268817205
2,Moderate,254,0.39,0.46062992125984253,0.42238267148014447
3,Severe,208,0.7027027027027027,0.75,0.7255813953488374
