case_key,case,outer_fold,branch,method,target_class,fraction,original_prob,random_prob_mean,random_prob_sd
FAITH_003,F0_challenge_error,0,Original DeiT,Integrated Gradients,1,0.05,0.5051551461219788,0.4136415928602218,0.0649889806530742
FAITH_003,F0_challenge_error,0,Original DeiT,Integrated Gradients,1,0.1,0.5051551461219788,0.3060344383120537,0.084232982500751
FAITH_003,F0_challenge_error,0,Original DeiT,Integrated Gradients,1,0.2,0.5051551461219788,0.2755600988864898,0.0496857439565524
FAITH_003,F0_challenge_error,0,Original DeiT,Integrated Gradients,1,0.3,0.5051551461219788,0.2134573552757501,0.0551685014050029
FAITH_003,F0_challenge_error,0,Original DeiT,Occlusion,1,0.05,0.5051551461219788,0.4030612468719482,0.0544206180040015
FAITH_003,F0_challenge_error,0,Original DeiT,Occlusion,1,0.1,0.5051551461219788,0.3619755133986473,0.0707784351076691
FAITH_003,F0_challenge_error,0,Original DeiT,Occlusion,1,0.2,0.5051551461219788,0.2521019831299781,0.0609324672000584
FAITH_003,F0_challenge_error,0,Original DeiT,Occlusion,1,0.3,0.5051551461219788,0.2252708382904529,0.0568117213072983
FAITH_004,F0_correct_agreement,0,CORAL-MSaux,Integrated Gradients,0,0.05,0.8461852073669434,0.8126370877027511,0.0182994838076023
FAITH_004,F0_correct_agreement,0,CORAL-MSaux,Integrated Gradients,0,0.1,0.8461852073669434,0.7968370467424393,0.0222239418985621
FAITH_004,F0_correct_agreement,0,CORAL-MSaux,Integrated Gradients,0,0.2,0.8461852073669434,0.7263806194067002,0.038685095926705
FAITH_004,F0_correct_agreement,0,CORAL-MSaux,Integrated Gradients,0,0.3,0.8461852073669434,0.678616064786911,0.033885287387176
FAITH_004,F0_correct_agreement,0,CORAL-MSaux,Occlusion,0,0.05,0.8461852073669434,0.8226100236177445,0.0185434182089242
FAITH_004,F0_correct_agreement,0,CORAL-MSaux,Occlusion,0,0.1,0.8461852073669434,0.7958620846271515,0.0271962373338106
FAITH_004,F0_correct_agreement,0,CORAL-MSaux,Occlusion,0,0.2,0.8461852073669434,0.7293560743331909,0.036209174217626
FAITH_004,F0_correct_agreement,0,CORAL-MSaux,Occlusion,0,0.3,0.8461852073669434,0.6554650872945785,0.0404902000475116
FAITH_004,F0_correct_agreement,0,Original DeiT,Integrated Gradients,0,0.05,0.9108022451400756,0.2810013085603714,0.1009949501165613
FAITH_004,F0_correct_agreement,0,Original DeiT,Integrated Gradients,0,0.1,0.9108022451400756,0.1839882869273424,0.0391069094270988
FAITH_004,F0_correct_agreement,0,Original DeiT,Integrated Gradients,0,0.2,0.9108022451400756,0.1342838376760483,0.0189033800054965
FAITH_004,F0_correct_agreement,0,Original DeiT,Integrated Gradients,0,0.3,0.9108022451400756,0.1152983136475086,0.0224919115329683
FAITH_004,F0_correct_agreement,0,Original DeiT,Occlusion,0,0.05,0.9108022451400756,0.2923712857067585,0.076777333923329
FAITH_004,F0_correct_agreement,0,Original DeiT,Occlusion,0,0.1,0.9108022451400756,0.1716213095933199,0.0484659813838111
FAITH_004,F0_correct_agreement,0,Original DeiT,Occlusion,0,0.2,0.9108022451400756,0.1401446182280779,0.0368658148443732
FAITH_004,F0_correct_agreement,0,Original DeiT,Occlusion,0,0.3,0.9108022451400756,0.12454424649477,0.0181893567225765
