grade,grade_name,support,precision,recall,f1
0,Normal,2009,0.8977035490605428,0.8561473369835739,0.8764331210191083
1,Mild,507,0.40850277264325324,0.4358974358974359,0.4217557251908397
2,Moderate,254,0.4013605442176871,0.4645669291338583,0.43065693430656937
3,Severe,208,0.6960352422907489,0.7596153846153846,0.7264367816091953
